"year","Albania","Argentina","Austria","Belgium","Brazil","Bulgaria","China","Czech Republic","Egypt","France","Georgia","Greece","India","Indonesia","Iran","Italy","Japan","Jordan","Kuwait","Malaysia","Mexico","Morocco","Oman","Pakistan","Poland","Portugal","Romania","Saudi Arabia","Slovakia","Spain","Switzerland","Taiwan","Thailand","Turkey","United Arab Emirates","United Kingdom"
1960,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1
1973,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,2
1974,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2
1975,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2
1976,,,1,,2,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2
1977,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2
1978,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2
1979,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2
1980,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2
1981,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2
1982,,1,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2
1983,,2,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2
1984,,2,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2
1985,,2,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2
1986,,2,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,
1987,,2,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,
1988,,2,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,
1989,,2,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,2,,1,,,,
1990,,2,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,2,,2,,,,
1991,,2,2,,2,,,,,2,,1,,,,,,,,,,,,,,,,,,2,,2,,,,
1992,,2,2,,2,,,,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,,,
1993,,2,2,,2,,,,,2,,2,,,,1,,,,,,,,,,,,,,2,,2,,1,,
1994,,2,2,,2,,,,,2,,2,,,,2,,,,1,,,,,,,,,,2,,2,,2,,
1995,,2,2,,2,,1,,,2,,2,,,,2,,,,2,1,,,,,,,,,2,,2,,2,1,
1996,,2,2,,2,,2,,,2,,2,,,,2,,,,2,2,,,,,,,,,2,,2,1,2,2,
1997,,2,2,,2,,2,,,2,,2,,,,2,,,,2,2,,,,1,,,,,2,,2,2,2,2,
1998,,2,2,,2,,2,1,,2,,2,,,,2,,,,2,2,,,,2,,,,,2,,2,2,2,2,
1999,,2,2,,2,,2,2,,2,,2,,,,2,,,,2,2,,,,2,,,,,2,,2,2,2,2,
2000,,2,2,1,2,,2,2,,2,,2,,,,2,1,1,,2,2,,,,2,,,,,2,1,2,2,2,2,
2001,,2,2,2,2,,2,2,,2,,2,,,,2,2,2,,2,2,,1,,2,,,,,2,2,2,2,2,2,
2002,,2,2,2,2,,2,2,1,2,,2,,,,2,2,2,,2,2,,2,,2,,,,,2,2,2,2,2,2,
2003,,2,2,2,2,,2,2,2,2,,2,,,,2,2,2,,2,2,,2,,2,,,,,2,2,2,2,2,2,
2004,,2,2,2,2,,2,2,2,2,,2,,,,2,2,2,,2,2,,2,,2,1,,1,,2,2,2,2,2,2,
2005,,2,2,2,2,,2,2,2,2,,2,,,,2,2,2,,2,2,,2,,2,2,,2,1,2,2,2,2,2,2,
2006,,2,2,2,2,,2,2,2,2,,2,,,,2,,2,,2,,,2,,2,2,,2,2,2,2,2,2,2,2,
2007,,2,2,2,2,,2,,2,2,,2,,,,2,,2,1,2,,,2,,2,2,,2,2,2,2,2,2,2,2,
2008,,2,2,2,2,,2,,2,2,,2,,,,2,,2,2,2,,,2,,2,2,,2,2,2,2,2,2,2,2,
2009,,2,2,2,2,1,2,,2,2,,2,,,1,2,,2,2,2,,1,2,1,2,,1,2,2,2,2,2,2,2,2,
2010,,2,2,2,2,2,2,,2,2,,2,1,,2,2,,2,2,2,,2,2,2,2,,2,2,2,2,2,2,2,2,2,
2011,1,2,2,2,2,2,2,,2,2,,2,2,1,2,2,,2,2,2,,2,2,2,2,,2,2,2,2,2,2,2,2,2,
2012,2,2,2,2,2,2,2,,2,2,1,,2,2,2,2,,2,2,2,,2,2,2,2,,2,2,2,2,2,2,2,2,2,
