year,Brazil,Chile,United States,Portugal,Peru,Argentina,Mexico,France,Venezuela,Colombia,Australia
1969,1,,,,,,,,,,
1970,2,,,,,,,,,,
1971,2,,,,,,,,,,
1972,2,,,,,,,,,,
1973,2,,,,,,,,,,
1974,2,,,,,,,,,,
1975,2,,,,,,,,,,
1976,2,,,,,,,,,,
1977,2,,,,,,,,,,
1978,2,,,,,,,,,,
1979,2,,,,,,,,,,
1980,2,,,,,,,,,,
1981,2,,,,,,,,,,
1982,2,1,,,,,,,,,
1983,2,2,1,1,,,,,,,
1984,2,2,2,2,,,,,,,
1985,2,2,,,,,,,,,
1986,2,2,,,,,,,,,
1987,2,2,,,,,,,,,
1988,2,2,,,,,,,,,
1989,2,2,,,,,,,,,
1990,2,2,,,,,,,,,
1991,2,2,,,,,,,,,
1992,2,2,,,1,,,,,,
1993,2,2,,,2,,,,,,
1994,2,2,,,2,1,,,,,
1995,2,2,,,2,2,,,,,
1996,2,2,,,2,2,,,,,
1997,2,2,,,2,2,,,,,
1998,2,2,,,2,2,,,,,
1999,2,2,,,2,2,,,,,
2000,2,2,,,2,2,,,,,
2001,2,2,,,2,2,,,,,
2002,2,2,,,2,2,,,,,
2003,2,2,,,2,2,,,,,
2004,2,2,,,2,2,,,,,
2005,2,2,,,2,2,1,1,,,
2006,2,2,,,2,2,2,2,,,
2007,2,2,,,2,2,2,2,1,1,
2008,2,2,,,2,2,2,2,2,2,
2009,2,2,,,2,2,2,2,2,2,
2010,2,2,,,2,2,2,2,,2,
2011,2,2,,,2,2,2,2,,2,
2012,2,2,,,2,2,2,2,,2,
2013,2,2,,,2,2,2,2,,2,1
2014,2,2,,,2,2,2,2,,2,2
2015,2,2,,,2,2,2,2,,2,2
