"year","Algeria","Argentina","Australia","Brunei","Cameroon","Canada","China","Colombia","Denmark","Egypt","Gabon","Germany","Indonesia","Iran","Iraq","Italy","Libya","Malaysia","Mexico","Netherlands","New Zealand","Nigeria","Norway","Oman","Qatar","Romania","Russia","Syria","Thailand","Trinidad and Tobago","Turkey","United Arab Emirates","United Kingdom","United States","Venezuela","West Germany","Yemen"
1905,,,,,,,,,,,,,1120000,,,,,,,,,,,,,35000,,,,,,,,,,,
1910,,,,,,,,,,,,,1242950,,,,,,,,,,,,,286236,,,,,,,,,,,
1915,,,,65185,,,,,,102201,,,1594553,,,,,,273349,,,,,,,341532,1526859,,,,,,,698749,,,
1920,,,,84342,,,,,,231179,,,2284136,,,,,,120141,,,,,,,327891,,,,51970,,,,1339619,42500,,
1925,,,,599392,,,,,,162815,,,2999061,,,,,,3512755,,,,,,,392944,,,,54028,,,,5492353,1162481,,
1930,,476915,,760166,,,,,,271520,,,4806640,,,,,,2052925,,,,,,,1034042,,,,117879,,,,7583552,8799547,,
1935,,605000,,673806,,,,,,214671,,,4271401,,214857,,,,2451478,,,,,,,1540117,,,,148933,,,,5549032,8168560,,
1940,,638200,,914000,,,,,,675000,,,5851100,,895000,,,,953921,,,,,,,1375000,,,,5e+05,,,,7332000,12180000,,
1945,,507074,,12000,,,,12200,,1342200,,,17000,,1212200,,,,618522,,,,,,,1402000,,,,758800,,,,9880600,11089700,,
1950,,422562,,3535435,,,,1098661,,1732504,,,3845314,,887380,,,,312678,,,,,987689,28171,,,,,774697,,,,12338810,21212612,,
1955,,367500,,5127086,,225366,,2310006,,507074,,,5718672,197196,7507518,,,,215117,,,,,3125642,1225430,,,,,845124,,,,17296871,29297632,,
1960,,210000,12443,5880000,,787500,,1942500,,157500,189265,,6142500,6457500,10552500,,,,,,,315000,,4156897,2100000,,,,,1260000,,,,20422500,47932500,,
1965,,105000,67771,3832500,15423,2782500,,1102500,,105000,541287,,3675000,11655000,14752500,,,175442,,,,3150000,38664,87546231,3622500,,,,,1522500,,1575000,,24045000,54285000,,
1970,,67000,212458,6720000,8086,3570000,,1207500,21849,97000,1470000,,,19897500,1764000,,2100000,323844,,211455,32648,1102500,59222,12600000,10080000,,,,,1680000,,3937500,5489473,31290000,52290000,,
1975,,31500,163877,518449,38894,1900524,,187227,38444,212578,879247,,,16527914,1201987,,189447,987521,,587443,85654,3589450,112859,6926458,5498963,,,1125634,312659,978554,,2659874,8945223,31379858,37562421,111694,
1980,,22145,322699,411779,97668,3014882,,212618,114287,548112,761847,,,,984227,,,2884763,,654213,118459,4782630,69541,5894231,3189451,,,987345,456874,652187,,1849323,15234561,47703468,28659452,213874,
1985,,8974,405555.52,3751388.56,1318055.44,2838888.64,,1977083.16,2078472.04,1013888.8,709722.16,,,,,,,4613194.04,,760416.6,304166.64,6742360.52,172586,7806943.76,989573,,,861805.48,659027.72,321898,811111.04,2281249.8,17996526.2,28287497.52,18954689,557638.84,
1990,,1265,1165972.12,3649999.68,1318055.44,2737499.76,,4055555.2,2838888.64,1318055.44,3295138.6,,,,,,,5525693.96,,760416.6,304166.64,14042359.88,2737499.76,9023610.32,,,,2636110.88,912499.92,565123,659027.72,3143055.28,11659721.2,23370136.84,5724361,506944.4,
1995,,,2737499.76,3751388.56,1267361,2433333.12,1368749.88,,5525693.96,354861.08,5576388.4,354861.08,,,,,,3852777.44,,709722.16,608333.28,11761110.08,4410416.28,14397220.96,,,,4461110.72,912499.92,,325784,4562499.6,18909026.12,20756330,984759,,709722.16
2000,101388.88,,5627082.84,4815971.8,1064583.24,2940277.52,1267361,,6539582.76,506944.4,3497916.36,304166.64,,,,512368,,2838888.64,,659027.72,456249.96,12115971.16,4410416.28,16526387.44,,,456249.96,2534722,912499.92,,659874,4866666.24,19162498.32,27565106,2230555.36,,
2005,1318055.44,,2686805.32,4815971.8,659027.72,1977083.16,1013888.8,,7249304.92,709722.16,1824999.84,202777.76,,,,1520833.2,,2078472.04,,354861.08,760416.6,16424998.56,5424305.08,10848610.16,,,1774305.4,1824999.84,856741,,235642,6793054.96,12673610,18584580,709722.16,,
